Designator,Mid X,Mid Y,Layer,Rotation
AC-IN,85.85,20.45,Top,270.0
C1,71.76,-15.60,Top,180.0
C2,71.04,-24.21,Top,180.0
C3,77.17,-10.82,Top,180.0
C4,76.76,-28.27,Top,180.0
D1,71.88,-20.27,Top,270.0
IC1,79.50,-20.27,Top,270.0
J1,10.29,32.38,Top,0.0
J2,21.08,32.38,Top,0.0
J3,31.88,32.38,Top,0.0
J4,42.67,32.38,Top,0.0
J5,53.47,32.38,Top,0.0
J6,64.26,32.38,Top,0.0
Q1,10.29,14.61,Top,0.0
Q2,21.08,14.61,Top,0.0
Q3,31.88,14.61,Top,0.0
Q4,42.67,14.61,Top,0.0
Q5,53.47,14.61,Top,0.0
Q6,64.26,14.61,Top,0.0
R1,11.99, 8.26,Top,180.0
R2, 6.91, 8.26,Top,180.0
R3,10.29,-5.71,Top,180.0
R4,22.78, 8.26,Top,180.0
R5,17.70, 8.26,Top,180.0
R6,21.08,-5.71,Top,180.0
R7,33.58, 8.26,Top,180.0
R8,28.50, 8.26,Top,180.0
R9,31.88,-5.71,Top,180.0
R10,44.35, 8.26,Top,180.0
R11,39.29, 8.26,Top,180.0
R12,42.67,-5.71,Top,180.0
R13,55.14, 8.26,Top,180.0
R14,50.09, 8.26,Top,180.0
R15,53.47,-5.71,Top,180.0
R16,65.94, 8.26,Top,180.0
R17,60.88, 8.26,Top,180.0
R18,64.26,-5.71,Top,180.0
U1,10.29, 1.27,Top,0.0
U2,21.08, 1.27,Top,0.0
U3,31.88, 1.27,Top,0.0
U4,42.67, 1.27,Top,0.0
U5,53.47, 1.27,Top,0.0
U6,64.26, 1.27,Top,0.0
DC-OUT,82.73, 9.53,Top,90
DC-IN,75.69,-0.51,Top,90
